Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     20.72     0.00   634219     0.00     0.00  bool __gnu_cxx::operator!=<cv::Point_<int> const*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >(__gnu_cxx::__normal_iterator<cv::Point_<int> const*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > const&, __gnu_cxx::__normal_iterator<cv::Point_<int> const*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > const&)
  0.00     20.72     0.00   631434     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int> const*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::operator++()
  0.00     20.72     0.00   631434     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int> const*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::operator*() const
  0.00     20.72     0.00   631434     0.00     0.00  void std::_Construct<cv::Point_<int>, cv::Point_<int> const&>(cv::Point_<int>*, cv::Point_<int> const&)
  0.00     20.72     0.00   514822     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::end()
  0.00     20.72     0.00   457092     0.00     0.00  cv::Point_<int>* std::__niter_base<cv::Point_<int>*>(cv::Point_<int>*)
  0.00     20.72     0.00   433592     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_end()
  0.00     20.72     0.00   424345     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_mbegin() const
  0.00     20.72     0.00   424345     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_begin()
  0.00     20.72     0.00   424344     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<int, int> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<int, int> > const&)
  0.00     20.72     0.00   424344     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::end()
  0.00     20.72     0.00   419244     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<int, int> > const&, std::_Rb_tree_iterator<std::pair<int, int> > const&)
  0.00     20.72     0.00   416887     0.00     0.00  std::vector<Superpixel, std::allocator<Superpixel> >::begin() const
  0.00     20.72     0.00   416886     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::back()
  0.00     20.72     0.00   416886     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::push_back(cv::Point_<int>&&)
  0.00     20.72     0.00   415096     0.00     0.00  std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::end() const
  0.00     20.72     0.00   415096     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::end() const
  0.00     20.72     0.00   415096     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<int, int> >::_Rb_tree_const_iterator(std::_Rb_tree_node_base const*)
  0.00     20.72     0.00   415096     0.00     0.00  std::pair<int, int>::pair<int, int, true>(int const&, int const&)
  0.00     20.72     0.00   415096     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int, int> >*, std::_Rb_tree_node_base*, std::pair<int, int> const&)
  0.00     20.72     0.00   415096     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.00     20.72     0.00   415096     0.00     0.00  int const& std::min<int>(int const&, int const&)
  0.00     20.72     0.00   415096     0.00     0.00  std::operator==(std::_Rb_tree_const_iterator<std::pair<int, int> > const&, std::_Rb_tree_const_iterator<std::pair<int, int> > const&)
  0.00     20.72     0.00   385000     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator*() const
  0.00     20.72     0.00   345977     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::size() const
  0.00     20.72     0.00   180998     0.00     0.00  std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_get_Tp_allocator()
  0.00     20.72     0.00   165704     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00     20.72     0.00   155149     0.00     0.00  std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_get_Tp_allocator() const
